id,title,overview,genres,release_date,vote_average,vote_count,popularity,original_language
1381216,Lake Jesup: Bonecrusher's Revenge,"In 2003, Lake Jesup became the stage for a real-life horror story, as a monstrous alligator escaped from captivity and began a reign of terror. As the body count rose, a desperate hunt ensued to stop the creature.","['Horror', 'Comedy', 'Adventure']",2024-05-01,6.182,21,125.7253,en
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.","['Drama', 'Mystery', 'Thriller']",2025-12-18,7.213,1585,104.7055,en
1058710,Bloodline Killer,Moira Cole endeavors to rebuild her shattered life after her family's murder at the hands of her deranged and obsessed cousin.,"['Horror', 'Thriller']",2024-04-26,5.745,47,96.9951,en
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","['Science Fiction', 'Thriller']",2025-07-29,4.16,930,96.9477,en
10538,Passenger 57,"Airline security specialist John Cutter, finally returning to the job after his wife's death, finds himself stuck on a flight being hijacked by notorious terrorist Charles Rane. Unfortunately for the terrorists, they're also stuck with him.","['Action', 'Adventure', 'Thriller']",1992-11-06,5.998,1094,66.5376,en
328595,Parallels,An underground MMA fighter must confront his sister and his past in an adventure through parallel universes,['Science Fiction'],2015-03-01,6.026,388,59.3214,en
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","['Action', 'Science Fiction', 'Adventure']",2025-11-05,7.695,2451,92.8452,en
1003596,Avengers: Doomsday,"The Avengers, Wakandans, Fantastic Four, Thunderbolts, and X-Men all fight against Doctor Doom. Plot TBA.","['Science Fiction', 'Action', 'Adventure']",2026-12-16,0.0,0,64.9797,en
14671,Summer School,"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some.",['Comedy'],1987-07-22,6.36,272,87.2738,en
1314786,Agent Zeta,"Four Spanish ex-intelligence officers are assassinated simultaneously worldwide. The CNI discovers all participated in the covert ""Operation Ciénaga"" decades ago in Colombia. Zeta, the CNI's best operative, must hunt and protect the sole survivor, facing his deadliest global mission yet. Top Colombian agent Alfa will join Zeta, seemingly knowing more about ""Ciénaga""'s secrets than him.","['Drama', 'Thriller']",2026-03-20,6.839,31,98.7295,es
746467,USS Christmas,"Maddie, a reporter for a Norfolk newspaper, embarks on a Tiger Cruise during Christmastime where she meets a handsome naval officer and stumbles upon a mystery in the ship’s archive room.","['TV Movie', 'Mystery']",2020-11-28,6.784,44,84.5959,en
1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.","['Adventure', 'Comedy', 'Horror']",2025-12-24,5.876,826,91.3591,en
1426297,Play Dead,"A woman wakes up injured in a basement surrounded by corpses. To survive, she pretends to be dead while a grotesque ritual unfolds in the house above.",['Horror'],2025-03-29,5.6,23,95.2888,es
1367763,Lilly Lives Alone,"Guided by the ghost of her daughter, a guilt-ridden mother plunges into madness through the course of drug-fueled fever dream.","['Horror', 'Thriller']",2025-08-22,4.0,1,87.093,en
969681,Spider-Man: Brand New Day,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.","['Science Fiction', 'Action', 'Adventure']",2026-07-29,0.0,0,76.6971,en
411135,Future World,A young boy searches a future world wasteland for a rumored cure for his dying mother.,['Science Fiction'],2018-05-25,4.306,276,74.2977,en
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","['Action', 'Adventure', 'Thriller', 'Crime', 'Drama']",2002-08-09,5.98,4823,77.2199,en
1387382,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.","['Action', 'Drama', 'Thriller']",2025-12-05,6.997,158,71.923,en
227156,The Giver,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","['Drama', 'Science Fiction']",2014-08-13,6.558,4596,47.1948,en
225914,Spider-Man,"When an extortionist threatens to force a multi-suicide unless a huge ransom is paid, only Peter Parker can stop him with his new powers as Spider-Man.","['Science Fiction', 'Action', 'Crime', 'TV Movie']",1977-09-14,6.302,207,49.0366,en
1167307,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.","['Animation', 'Family', 'Drama']",2025-12-14,8.1,109,72.7995,en
727190,Slumberland Express,"Oswald the Rabbit and his little brother catch the Slumberland Express and it carries the assorted animals to childhood's dream of paradise - an amusement park where all the games are free, and windows are provided just to be broken by an abundant supply of free rocks, and old men wear silk hats to provide targets for snowballs. But Oswald's little brother wanders into Nightmare Land where terror reigns; the soap and comb and brush and toothpaste that plague a child's existence come to life.",['Animation'],1936-03-09,0.0,0,72.9195,en
1306368,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.","['Action', 'Thriller', 'Crime']",2026-01-13,7.068,1407,64.4488,en
244458,The Voices,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.","['Comedy', 'Crime', 'Horror', 'Fantasy']",2014-01-19,6.251,1879,45.1869,en
62029,Bingo Bongo,"The ape-man, found somewhere in the jungles of Congo, transferred to Milan and named Bingo Bongo. The only one who believes in the human qualities of him is Laura, a woman anthropologist , so their affection for each other even grows to love.",['Comedy'],1982-12-23,5.7,170,57.0591,it
